sample_size,learner,calibration_method,raw_bin,raw_bin_mid,raw_bin_lower,raw_bin_upper,corrected_rate,wrong_rate,total_flip_rate,count
2000,GBRT 8,Causal Isotonic,1,-0.779711712248343,-0.796906609236659,-0.76441868196501,0,0,0,2993
2000,RF,Causal Isotonic,7,-0.552585861317891,-0.568213080004592,-0.537416449127947,0,0,0,9574
2000,RF,Causal Isotonic,22,-0.0901288943899325,-0.10619334934986,-0.075393679386562,0,0,0,51418
2000,RF,Causal Isotonic,26,0.0296033011706065,0.0170120227741299,0.0478121697782409,0.590903915285391,-0.316036891845731,0.906940807131122,61477
2000,RF,Causal Isotonic,23,-0.0589170020793389,-0.0753926594843095,-0.044592284852715,0,0,0,72852
2000,RF,Causal Isotonic,12,-0.398608938630636,-0.414205171949808,-0.383409553906353,0,0,0,15324
2000,RF,Causal Isotonic,21,-0.121111949311362,-0.136995058580161,-0.106195425865993,0,0,0,40934
2000,RF,Causal Isotonic,24,-0.027265372652587,-0.0445912060799905,-0.0137902224823957,0.000357858029344358,-0.00207862217044702,0.00243648019979138,131337
2000,RF,Causal Isotonic,13,-0.367803104431618,-0.383402904464508,-0.352607882461892,0,0,0,16568
2000,RF,Causal Isotonic,18,-0.213706255853184,-0.229398884013158,-0.198598117582448,0,0,0,26695
2000,RF,Causal Isotonic,27,0.0612125023343248,0.0478128085836466,0.0786133134123913,0.513895141816396,-0.298612532230999,0.812507674047395,24433
2000,RF,Causal Isotonic,25,2.57530571550754e-05,-0.013790016702601,0.0170108635152242,0.307040832124406,-0.159400677763952,0.466441509888358,174397
2000,RF,Causal Isotonic,29,0.123574304312825,0.10941683499189,0.140187973553001,0.397158922758212,-0.248446285883397,0.64560520864161,6758
2000,RF,Causal Isotonic,9,-0.490910718282875,-0.506608429288622,-0.475810998848712,0,0,0,11908
2000,RF,Causal Isotonic,17,-0.244531363051015,-0.260200511956629,-0.229399514542425,0,0,0,23866
2000,RF,Causal Isotonic,28,0.0923884942791179,0.0786141108115709,0.109413289244273,0.445924829344518,-0.276091783863805,0.722016613208323,12159
2000,RF,Causal Isotonic,16,-0.275410635754458,-0.291000981398776,-0.260201011310481,0,0,0,21363
2000,RF,Causal Isotonic,10,-0.460121342926678,-0.47580864777789,-0.445009203227485,0,0,0,12758
2000,RF,Causal Isotonic,19,-0.182886512191778,-0.198597164536189,-0.167796835430342,0,0,0,29893
2000,RF,Causal Isotonic,14,-0.336992615418463,-0.352601138740722,-0.321805313852507,0,0,0,17994
